Date,Title,article 
"Dec 15, 2014, 09:09 IST",HIV patient ends life in Surat,"SURAT: Fed up with prolonged illness, a 42-year-old HIV patient ended his life at Surat Municipal Institute of Medical Education and Research (SMIMER) Hospital here on Sunday.
 
, He was a resident of Dindoli area of the city. He was found hanging from the ceiling fan of a special room on the fourth floor of the hospital. He took his life when his wife went out of the room for some work in the morning.
, 
, His wife alerted the hospital authorities on finding him hanging from the ceiling fan. He had used his wife's sari as a noose. The man was admitted to , on November 28. He was under treatment for HIV for the past seven years. The woman informed police that her husband was depressed because of his illness and thus may have committed suicide. The deceased was a labourer but was jobless for the past few weeks.
, 
, ""His family members said the deceased was depressed because of his illness. We are collecting more details about the deceased and his family as a part of our investigation,"" said V D Vala, police inspector, Varachha police station. ""There are many reasons for a HIV positive patient to become depressed. It could be unending treatment and lack of family support. Family members should spend more time with such patients to check development of suicidal tendencies in them,"" said Daksha Patel, secretary, Gujarat State Network of Positive People (GSNP+).
, 
"
"Dec 17, 2014, 02:44 IST",Only 24% of parents with HIV disclose health status to kids," CHENNAI: For years, Ramani* did not know how to tell her two teenage daughters that their father had died of AIDS and that she had contracted the HIV infection from him. She even evaded questions on the cause of their father's death until the day her 15-year-old daughter found a hospital file and asked her mother about the medicines she was taking., , ""I was surprised that my daughter did not get angry. She has learnt about HIV at school. In fact, she was supportive and said she would take good care of me. She suddenly sounded all grown up when she told me not to reveal about my health status to her sister,"" Ramani said., , Not many parents with HIV reveal their health status to their children. A study by National Institute for Research in Tuberculosis found that only 24% of people with HIV disclosed their status to their children. The study involved interviews with 115 parents with HIV. Those who disclosed it did so only to protect their children from risky behaviour or in the hope that they would be taken care of when they fall ill., , While the rest did not reveal their status to their children because they were afraid of losing respect or being treated with indifference, the study highlighted the need to teach healthcare providers to help patients with full disclosure., , Only 39% were able to disclose their status by themselves; in the rest of the cases, children came to know of their parents' health condition on their own during hospital visits, reading case files or overhearing conversations between the parent and the health provider., , The study said the trend was worrying as improper disclosure without clear explanations could frighten a child, , . Most of the disclosures were by those widowed, separated or divorced where the child would already be going through a trauma of a broken family, , . Disclosure was also more likely where both parents were positive., , Not all children were accepting and understanding of their parents' health status. At least half of those who disclosed, witnessed angry or mixed reactions from children. One-tenth of the parents who did not disclose had children who were HIV positive, leaving them with more burden of keeping even their child's status under wraps that can be detrimental to the psychosocial well being of parents and their children, , *(Name changed), , ""Anti-retroviral treatment reduces morbidity and mortality and disclosure becomes significant as positive parents are more likely to raise their children for many years. However, HIV programmes do not address the psycho-social concern regarding disclosure,"" said Beena Thomas, scientist, NIRT. ""Disclosure is important for emotional and social support and better quality of life. Once the disclosure is made, children need to be equipped to deal with the status through periodic interventions and counselling. Apart from inclusion of disclosure support services in HIV intervention programmes, children need to be sensitized early to accept it without discrimination and need to be prepared as they are the best ambassadors to pass the message to their parents."",  "
"Dec 19, 2014, 00:00 IST",One of every 10 tested for HIV in Bhiwandi found positive: Study,"Thane: One out of every 10 , resident who got himself checked for , this year tested positive for the infection, records stated. Between April and October this year, 68,232 people got themselves tested for HIV in Thane district and of them, 1,410 were tested positive. 
 
,
, The density in Bhiwandi was high, as of the 2,064 people who underwent tests, 198 tested positive, revealed a study by the State , Control Society (,). This is also the highest density of HIV positive patients in Thane district, said health officials. Experts cited lack of awareness among migrant and labour population in the township to be responsible for the numbers. 
,
, Ulhasnagar was second with 5.33% of 4,428 people tested positive for HIV. Thane showed a meagre rate of 1.93%, while Navi Mumbai recorded 2.34%. Mokhada registered the lowest figure with only one out of 1,359 people testing positive between April and September. 
,
, SACS officials said they will start more programmes. “The city has a high labour population. Also, there are a number of red-light areas in industrial zones. Awareness campaigns have had little effect as most people here are migrants,” said Ratan Gadhave, programme officer, district AIDS prevention & control unit, Thane. 
,
, 
"
"Updated: Dec 20, 2014, 09:35 IST","'Nano-tech edge to check cancer, HIV'"," NASHIK: , (NCL) is focusing on commercialising biological , to check diseases such as cancer and HIV, ,, a senior scientist with the laboratory, said on Friday.
, 
, He was addressing the inauguration of a two-day national conference on the recent trends in nanoscience and techniques and applications associated with life sciences.
, 
, Ahmed said the , is being used to control diseases such as cancer, HIV and dental problem and also in sectors such as agriculture and energy conversion by using biological means.
, 
, ""The biological methods are water soluble and non-chemical and are non toxic. They are made from endophytic fungi made from plants and mushrooms which is much safer,"" he added.
, 
, Ahmed said a basic research for these nanoparticles has been done for medicinal use and no commercial research is being done for translating them into industrial applications. This will also help to tap the ,, he added.
, 
, Speaking to TOI, Ahmed said that a major company based in the country has already sought technical know how about synthesis from lemon grass into their use.
, 
"
"Jan 1, 2015, 10:06 IST","HIV positives find perfect matches, new lives"," ,: Youth living with HIV/AIDS are increasingly breaking the shackles of social stigma to start life afresh in the form of life partners through a city-based non-governmental organization.
, 
, Ravindra Patil of Yash Foundation, the NGO working with support from Mahindra & Mahindra as part of its corporate social responsibility, said they have come a long way since 2007 in terms of providing nourishment to children living with HIV/AIDS and rehabilitation programmes and opportunities to women living with the disease, especially after they lost their husbands and abandoned by family members. ""Our focus is now on match-making so that the young people living with HIV/AIDS can lead a positive life,"" he said.
, 
, Rajesh, a mechanical engineer from Mumbai, ""I was 28 when I was diagnosed with ,. The world surrounding me changed all of a sudden and I felt that all doors of opportunities were closed for me. Leading a regular life appeared impossible. It was like being confined in a dark room. For couple of years, I struggled to come to terms with the fact and I was losing on health. But it was after I got in touch with the foundation that I realised that there is life beyond HIV/AIDS. Members of foundation helped me find a bride. And life is beautiful once again,""
, 
, Starting with enquiries from eight eligible PLHAs (People Living with HIV/AIDS) and converting one into marriage in 2010, the foundation in 2014 received 180 enquiries. Three marriages were solemnised and another eight confirmed.
, 
, ""After working with children for three years, our focus shifted to the youngsters and hence we started Mangal Maitri, an annual event that brings the prospects together. Considering the figures, 2014 was the best in the past three years. Currently, as 22 youths have found partners for themselves through our organisation. The prospects are bachelors as well as the ones who are in their widowhood,"" Patil said.
, 
, The first marriage solemnised by the organisation was between the two individuals, whose partners had succumbed to the disease. They both adopted each other with their children and that started off the marriage. ""There are common queries about trying to look for people from the same castes. But there are also others who want to go ahead with life with a suitable person,"" Patil added.
, 
, Similar is the case of Shankar and Sarita, who got married in 2012. They now have a one-year child. While Shankar works with an engineering firm, Sarita is in the medical field. Both of them acquired the disease from their parents. However, timely monitoring and treatment ensured they being in better health till date.
, 
, ""I joined the NGO sometime around 2008. I was in college then. I participated voluntarily in programmes organised for the positive people. I eventually came across Sarita, who had registered in the marriage bureau of the NGO. We are from different castes but our parents were for us living together,"" said Shankar.
, 
, (Names changed to protect identities)
, 
"
"Updated: Jan 11, 2015, 01:27 IST",Guntur tops the list of HIV positive cases in Andhra Pradesh,"HYDERABAD: , district, which forms part of the AP state capital region, tops the list of HIV positive cases in the state. The district also had the dubious distinction of being the ""HIV capital' in undivided , Pradesh in the last two years."
"Jan 22, 2015, 13:44 IST",Above half HIV patients in state 'untraceable',"JAIPUR: At least 25,638 , (,) registered with Rajasthan State Aids Control Society (RSACS) are 'untraceable'. As per RSACS, these people are registered at antiretroviral therapy (ART) centres but they are not coming to take their medicine.
 
, The figures show that there are 48,202 PLHIV patients registered at 17 ART centres in the state. Since more than half of the registered persons at ART centres are giving treatment a miss, it has become a cause of concern for RSACS.
, 
, Now, the health department plans to find out the actual status of all the registered PLHIV at the ART centres. RSACS director Dr S S Chauhan said, ""There could be a possibility of many PLHIVs getting them registered at different ART centres. So there is a chance that a single PLHIV can be registered at more than once ART centre. And that could be mean that the number of registered PLHIV is more than actual number. Also, there could be those who shifted to other states and are taking treatment there.""
, 
, Taking a serious note of the 'untraceable' PLHIV, the RSACS will start a campaign to locate the them by conducting a line listing. An RSACS official said line listing will help them find the actual number of PLHIV, who were once tested positive at the ART centres.
, 
, The official said they would conduct a survey by visiting the houses of the PLHIV to know the actual position.
, 
, He said that the survey would help them get the actual PLHIV number and also it would encourage PLHIV to take medicines available at ART centres.
, 
, He added that few PLHIV do not require medicines so they do not come to ART centres. ""The survey would clear the picture of the patients' status in the state,"" he said.
, 
"
"Updated: Jan 29, 2015, 04:46 IST",Bengal NGO shows the way in helping HIV-positive kids,"KOLKATA: Mahesh Pramanik (name changed) was all of 12 when Anandaghar, the only home for HIV positive children in West Bengal, took him in. The boy from Midnapore was abandoned by his family after his parents succumbed to AIDS. 

, Today Mahesh is 18. As Mahesh and some other inmates of Anandaghar, run by Organisation for Friends, Energies & Resources (OFFER), step into adulthood, they aspire to stand on their own feet. They hope vocational and skill development training that OFFER has been giving along with formal education could help them earn a living. 
,
, “We fought the resistance in admitting them in schools because of their ‘HIV positive’ status. In addition, we have also been providing vocational training to older children so that this would help them in future. Our aim is to place them in suitable jobs once they are ready,” says Kallol Ghosh, founder secretary of OFFER. 
,
, Since 2004, Anandaghar has been taking care of ‘HIV positive’ orphans, unwanted even by their own families. Currently there are 70 such children at the home that provides, apart from food and shelter, education along with clinical care for HIV. But the organization is now staring at a bigger task — rehabilitating the children who are 18 years and above by getting them placement— in a rare initiative to get such children back in mainstream. 
,
, Bajoria Charitable Foundation (BCF) that has been supporting OFFER is also keen on this rehabilitation project. BCF founder Namit Bajoria, who runs a kitchen appliances chain Kutchina, intends to identify skills in these children and improve them before placing them in jobs. 
,
, “To begin with, we can place some of them in back office or in outlets in the city. As and when they learn the job they could be given bigger responsibility. The aim is not only financial assistance, but to make these children part of the mainstream society,” says Namit Bajoria. 
,
, At OFFER these children are being trained at skills like computer operation, bakery and house-keeping etc. OFFER has started approaching corporate houses and other organisations to tie up for the rehabilitation project. But apart from Kutchina and a handful of MNCs, the response has not been very encouraging. 
,
, The prospect of earning bread and butter on their own is already a reason for excitement for the likes of Pratik Sarkar. The boy, who was rescued from Cooch Behar after being driven out of home five years ago, wishes to join a driving school once he completes 18 years in a few months to earn his living as a driver. There are 17 other children who are nearing 18 years of age and are looking forward to land suitable jobs. 
,
, “I have my limitations to provide jobs to all of them. But I want to make a beginning so that this will evoke response from like-minded people and organisations,” says Bajoria. Even after these children start earning, OFFER will continue to monitor them, especially their medical care. Most of them are on ART (antiretroviral) drugs and need to maintain a reasonably good CD count to fight the virus. 
,
, 
, 
,
, 
"
"Updated: Jan 29, 2015, 06:50 IST,The RTI response showed that between April and October 2014, around 629 people across the country, including 8... ","1,000 HIV+ cases in Maharashtra due to infected blood transfusion","MUMBAI: The ,, in an RTI response, has revealed that nearly 1,000 people contracted the human immunodeficiency (,) virus in Maharashtra due to transfusion of infected blood over the past five years. The state has earned the dubious third position after Uttar Pradesh and Gujarat to report this alarming trend, raising a serious question over the quality of blood transfused to unsuspecting patients.
 
, The shocking disclosure comes at a time when the , have had people believe that transfusion-transmitted infection has almost been eliminated. The RTI response showed that between April and October 2014, around 629 people across the country, including 80 in the state, got HIV through blood transfusion. The cumulative count for the past five years is 8,983 people who got HIV through , in India.
, 
, The data collected from , (ICTC) through voluntary disclosure of clients, though, has raised a storm among the HIV-fighting agencies at the state and the Centre. While officials have questioned its veracity, activists insist the numbers expose the glaring lack of accountability when it comes to ensuring quality of blood supplied by blood banks. Interestingly, nodal agencies such as the State Blood Transfusion Council (SBTC) and the Maharashtra State Aids Control Society (MSACS) have put the onus on each other to ensure blood banks play by the rule and detect every HIV case.
, 
, Experts say a fundamental problem is the fact that HIV in most blood banks is still tested through enzyme-linked immune-sorbent assay test (ELISA) that has an innate shortcoming. “If a person has recently contracted HIV, this test may not show. It can detect HIV antibodies that take a minimum of three months to show in the blood. So if a person donates blood, it will end up getting transfused,” said an ICTC staffer from Parel’s KEM Hospital.
, 
, “Due to financial constraints, most blood banks have not graduated to advanced tests such as nuclear acid testing (NAT) that cut down the HIV detection window period from few months to a week,” said Vinay Shetty of NGO Think Foundation. Currently, only a handful of the city’s leading private hospitals offer NAT-tested blood, which again comes at a premium fee of at least Rs 1,200 per unit. “None of the state-run and BMC blood banks, however, have this facility,” he said.
, 
, 
,
, 
,
, 
, In fact, there is also a worrying amount of negligence while conducting and then screening blood, said a senior technician from a leading blood bank. “Any person who tests positive for HIV during a donation camp is seldom informed about his status or referred to an ICTC centre, although both are mandatory. Therefore, that person goes about donating several times till he is detected at some point,” said the technician, adding that several youngsters, in fact, bank on blood camps to find out about their status. “Once they do not get follow-up calls, they go about things normally,” he added.
, 
, Officials from the SBTC, though, feel the numbers are not that bad given that there are 11 lakh donations on an average annually. “How much can we trust voluntary disclosures by people who may be unwilling to disclose how they actually contracted the virus? Also, SBTC’s role is to ensure blood is available for everyone. The infection part is dealt with by MSACS,” said Dr Sanjay Jadhav, director, State Blood Transfusion Council (SBTC).
, 
, MSACS, on the other hand, said it is SBTC that monitors all activities of blood banks. “The information on number of people infected with HIV due to infected blood transfusion is not available with us. There is an option of recording the mode of transmission of HIV for clients being tested at ICTC. However, there are no means to verify this,” said Khushalsinh Pardeshi, project director, MSACS. The bickering between the agencies also highlights how none of them may be actively monitoring the number of HIV infections happening through the transfusion route.
, 
, According to MSACS data, annual new HIV infections in Maharashtra have reduced from 10,431 in 2007 to 5,893 in 2011 while there has been a 49% decline in AIDS related deaths.
, 
, 
, 
"
"Updated: Jan 31, 2015, 00:23 IST",Two-day seminar dispels myths related to HIV/AIDS,"PANAJI: Inspired by the incident at ,, wherein a few students were denied admission to a school, Goa college of home science, in collaboration with the Indian council of social science research, organized a two-day national , titled ‘Moment of truth: Face to face with , in the college premises’.
 
, Larissa Rodrigues, the organizing secretary of the event, said, “It’s been 40 years since the first HIV/AIDS case was discovered, yet people still continue to believe in the myths that surround the disease. Participants from Bihar, Coimbatore, Dharwad, Mumbai, Pune and other parts of the country will share their views on the topic.”
, 
, Dr Jagdish Cacodkar, president of Indian medical association, Goa, presented a paper on the stigma and discrimination towards people suffering from HIV. He pointed out that more than the disease, the stigma and discrimination of HIV/AIDS spreads the epidemic. He suggested control methods like multi-modal approach from various agencies, legal protection, health education and counseling programs, besides proactive awareness through mass media.
, 
, Mandar Fatarpekar and Mamta Kumari from Damodar College, Margao, presented a demographic profiling of AIDS patients in Goa, revealing that there is a decline in number of HIV/AIDS cases in Goa from 2001 to 2011.tnn
, 
, 
"
"Feb 1, 2015, 02:00 IST","Transgenders, PLHIV complain of insecurity","PANAJI: Goa still has a long way to go in terms of , and , (PLHIV). Speaking at a panel discussion on ‘creating an enabling environment’, at a national seminar organized by ,, representatives of various institutions expressed the need to spread more awareness for ,.
 
, Diana Budiyal, a transgender present on the panel, pointed out that even though there are nearly 150 transgenders in Goa, the government has barely made any efforts to recognize them. Lamenting that people continue to live in fear of transgenders for no reason and treat them with hostility, Budiyal said, “Despite being educated, I have faced a lot of problems getting a decent job. Even if I’m quietly waiting for a bus, people will move away from me. Why do they feel so threatened?”
, 
, Another panelist*, who falls in the category of PLHIV, shared her story of being literally excommunicated from the society. After her husband tested positive for HIV/AIDS, the woman discovered that she had also contracted the infection from him. The couple was eventually disowned by their family. Being a victim of social ostracism, she struggled to get a job until an NGO took her under their wing. “It has been 14 years since I was diagnosed with HIV/AIDS and I am still alive. Healthy people fail to realize that we are
, no different from them,” she said.
, 
, “Even though efforts are being made to raise awareness about the issue, the process is haphazard and not systematic,” stated Raj Vaidya, chairman of Indian Pharmaceutical Association (IPA-CPD), Goa. He added, “No one has a clear record of which all areas have been covered to raise awareness, or how many people have been reached. The Goa state AIDS control society should be aware of the numbers and a strategic plan should be put into place to spread awareness.”
, 
, *(name withheld on request)
, 
"
"Updated: Feb 2, 2015, 11:51 IST",NGO takes up HIV+ outreach worker’s cause,"LUDHIANA: One of the nine outreach workers designated in Ludhiana at an ICTC (,) alleged that Dr US Sooch – project officer (Ludhiana), , Control – disclosed her identity in a discriminatory statement to the media on January 31. This issue was brought up by an NGO – Punjab Networking of Positive People Society – actively working against the discrimination with , positive people, and for the rights of the affected people, and awareness of AIDS. 

, On behalf of the outreach workers opposing this ‘insensitive’ step of Dr Sooch, the NGO has written letters to Punjab health minister Surjit Kumar Jiyani, Punjab State Human Rights Commission, and the National AIDS Control Society. They will be submitting a memorandum to deputy commissioner of Ludhiana, Rajat Aggarwal, on Monday, demanding legal action against Dr Sooch, and an inquiry into the whole case. Meanwhile, Sooch has denied giving the statement. “I have given no such statement anywhere. I know the rules, and I also know that if I do not follow them, no one else will,” he emphasized. 
,
, President of the NGO, Jagjit Singh Mann, while talking to ToI, said: “When it comes to keeping the identity of the HIV positive patient confidential, there are very minute things on which people need to focus, otherwise it can lead to discrimination against them in society. Keeping in mind the guidelines, some outreach workers or their family members are supposed to be HIV positive patients. If Dr Sooch knew that the identity of the HIV positive outreach worker was being discussed openly, then he should have been taken care to conceal it. However, until now, none of the staff working with the outreach worker knew that she was HIV positive. But after this disclosure, she is under threat of discrimination at her workplace, and also where she lives.” 
,
, The NGO also brought to light that there is shortage of technical staff in Ludhiana at many places for the past one year, but there have been no appointments made by the district AIDS control society. 
,
, 
,
, 
, 
,
, According to present information, both the posts of lab technicians at the ICTC of the , (CMCH), Ludhiana, are lying vacant for about a year, and the lives of patients getting HIV tests done have been put at stake with non-technical staff doing the tests. 
,
, It is to be noted that there are nine ICTCs in Ludhiana district – five of them in the villages of Payal, Khanna, Jagraon, Raikot, and Samrala; and four of them in the city at Dayanand Medical College and Hospital (DMCH), Civil Hospital, and two at the Christian Medical College and Hospital (CMCH). According to the guidelines of the National AIDS Control Society (NACO), there should be a counsellor, a lab technician, and an outreach worker at an ICTC, who can then refer the HIV positive patient to an ART (anti-retroviral therapy) centre in the city for treatment. 
,
, NGO head Mann said: “As the lab technician is not available, other non-technical staff are asked to perform the task of technical staff. How can we depend on such lax AIDS control services in the city? The condition is the same at some other ICTCs also, where lab technicians are available.” When Sooch was questioned about this, he told ToI: “We are looking for lab technicians for the two ICTCs at CMCH. Very soon, the appointments will be made.” 
,
, 
"
"Updated: Jan 30, 2015, 15:10 IST",Financial crisis hits Mizoram’s fight against HIV/AIDS,"AIZAWL: Funds crunch for the past few months have badly hit non-governmental organizations (NGOs) in Mizoram that are fighting against the , of , in the state, said Federation of NGOs Working in Drugs and AIDS Prevention and Care (FONWIDAPAC), an umbrella organization comprising 41 NGOs involved in campaigns against HIV/AIDS.
 
, John Thansanga, president of FONWIDAPAC, said the NGOs, which used to receive funds from the , (MSACS), have not received any financial assistance since September last year.
, 
, Besides running their offices, the NGOs also run homes for patients, clinics and drop-in centres. They distribute condoms among sex workers and syringes among drug addicts. They also organize HIV/AIDS awareness campaigns among high-risk groups and the general public. Due to funds crunch, many NGOs have been compelled to shut their offices and drop-in centres.
, 
, “We continued our services in spite of lack of funds, but it has become impossible to provide syringes, needles and condoms to high-risk groups now,” Thansanga said, adding that the NGOs have been finding it difficult to pay its workers for months.
, 
, Chawnglungmuana of SHALOM, another NGO, said the MSACS are not being able to give financial assistance to the NGOs as the state government has not release funds in spite of receiving them from the Centre.
, 
, “The government is facing acute financial crisis,” Chawnglungmuana said. The Centre is yet to release Rs 820 lakh as utilization certificates for the funds already released have not been provided by the state, he said.
, 
, , AIDS Control Organization (NACO), which used to transfer funds directly to the state AIDS control societies, recently changed its policy and now transfers funds via the state government.
, 
"
"Jan 30, 2015, 02:33 IST",No ready answers to cut HIV infections through blood transfusions,"AHMEDABAD: Gujarat recorded the country's highest number - 1,658 cases - of transfusion transmitted HIV infections from 2010-11 to 2014-15, says the National AIDS Control Organization (NACO). This has raised a serious question about the quality of blood transfused to unsuspecting patients in the state. , For many - like the parents of 30-odd thalassaemic children who suffered a double whammy when they got HIV infections after regular transfusions - the figures are a chilling reality., , Experts point out that a wide range of factors, including medical negligence, three-month window period of the HIV virus where the virus is not diagnosed by the ELISA test, failed testing mechanisms in public health and wrong information provided by patients, contribute to the high figures of HIV spread through transfusion., , ""In the past, complaints of instances of sample pooling for HIV testing have been raised which compromises test results. Since pooling of samples dilutes the viral load of a positive sample, many times it does not get detected and is passed on to a patient,"" a senior microbiologist in Ahmedabad told TOI., , The CBI, in its report in the Junagadh case, has said that there was negligence in testing of blood samples and recommended stringent compliance by blood banks. It however did not have evidence to prove a criminal offence., , J P Gupta, health commissioner and project director of Gujarat State Aids Control Society (GSACS) says there is no foolproof testing method to completely eliminate the HIV virus - which has a three-month window when it is not picked by regular testing - from the public health delivery domain., , A petition was moved in the high court for use of the more advanced PCR testing instead of ELISA. The court however said that the issue was better left to experts when it was furnished in court that using the expensive PCR testing can prove detrimental in a public health scenario, and make blood unaffordable to a majority if mandated., , Dr Rajendra Gadhvi, joint director GSACS, says Gujarat is the highest voluntary blood donating state - an average of 7-9 lakh blood units are donated annually. He says the figure of 1,685 cases through blood transfusion is arrived at from case histories recorded by patients. ""In India, where sex is still taboo, many patients give an incorrect history to save themselves embarrassment. In many cases, people record transfusion as the cause instead of unsafe sex."",  "
"Updated: Jan 30, 2015, 02:25 IST,At least six states are facing a severe shortage of condoms distributed under the government’s AIDS control programme.",HIV fears rise over condom shortage in states,"NEW DELHI: At least six states are facing a severe shortage of condoms distributed under the government’s ,, giving rise to a public health concern over the risk of , infections spreading. 

, These shortages have been continuing for around eight months in states such as Haryana, Uttarakhand and Madhya Pradesh, which have relatively high HIV prevalence. Uttar Pradesh, Andhra Pradesh and Rajasthan also face a supply crisis, which, sources said, stemmed from bureaucratic delays in procurement. 
,
, Target intervention groups, which distribute condoms as part of public health programmes, have written to the , (SACS) and other bodies, urgently seeking supplies, sources said.
, 
, 
, 
,
, The matter was recently raised with the Union health ministry, following which the health secretary met senior officials from the , (NACO) on Thursday. 
,
, “The issue has been brought to my notice. We have a meeting again tomorrow where we will analyse the situation and take measures to address the problem,” health secretary Lov Verma told TOI. 
,
, Sources said the shortage is primarily caused by bureaucratic delays. “While HLL Lifecare is unable to keep up with the demand, negotiations with private players is a long drawn process,” a source said.
, 
, 
, 
,
, “Several target invention groups working in these states have written to us seeking supplies of condoms as there are shortages. We have reported the matter to the government in our recent meeting,” said Nochiketa Mohanty, country program manager at , Healthcare Foundation (AHF) India. AHF, a Los Angeles-based nonprofit organization, provides anti-retroviral medicines and advocacy in 36 countries. 
,
, The crisis is not limited to condoms. There is also a shortage of HIV testing kits as well as anti-retroviral medicines, mainly pediatric drugs, across the country, health activists working with HIV patients informed. 
,
, Medecins Sans Frontieres, another leading international group working with HIV/AIDS patients, confirmed the shortages of condoms as well as anti-retroviral drugs and testing kits across many states. 
,
, These shortages assume significance because India continues to battle against the infection. The UN estimates that India currently has the third largest population of HIV infected people in the world. 
,
, India’s AIDS control programme provides free treatment to more than one-third of the country’s 2.1 million HIV/AIDS patients and is the largest in the world. But, with such shortages, the country faces the risk of not only increased prevalence of the disease but also a rise in new infections, experts say. 
,
, 
"
"Feb 6, 2015, 04:58 IST",Smartphone dongle detects HIV in 15 mins,"WASHINGTON: Researchers have developed a low-cost smartphone dongle that can simultaneously detect HIV and syphilis from a finger prick of blood in just 15 minutes. 

, The device, developed by a team of researchers led by ,, associate %professor at Columbia University School of Engineering and Applied Science, can perform a point-of-care test that simultaneously detects three infectious disease markers. %The device replicates, for the first time, all %mechanical, optical and electronic functions of a lab-based blood test, researchers said. 
,
, The device performs an , (,) without requiring any stored energy: all necessary power is drawn from the smartphone. It performs a triplexed immunoassay not currently available in a single test format: HIV antibody, treponemal-specific antibody for syphilis, and non-treponemal antibody for active syphilis infection. 
,
, The accessory or dongle easily connects to a smartphone or computer and was recently piloted by health care workers in Rwanda who tested whole blood obtained via a finger prick from 96 patients who were enrolling into prevention-of-mother-to-child-transmission cli8nics or voluntary counselling and testing centers. ""Our work shows that a full laboratory-quality immunoassay can be run on a smartphone accessory,"" said Sia. 
,
, ""Coupling microfluidics with recent advances in consumer electronics can make %certain lab-based diagnostics accessible to %almost any population with access to sm-8%art8phones. This kind of capability can tr8ansform how health care services are de8livered around the world,"" he said. Sia's %team developed the dongle to be small and light enough to fit into one hand. and to run assays on disposable plastic cassettes with pre-loaded reagents, where disease-specific zones provided an objective read-out, much like an ELISA assay. 
,
, Sia estimates the dongle will have a manufacturing cost of USD 34, much lower than the USD 18,450 that typical ELISA equipment runs. 
,
, The team made two main innovations to the dongle to achieve low power consumption, a must in places that do not always have electricity. 
,
, The researchers eliminated the power-consuming electrical pump by using a ""one-push vacuum,"" where a user mechanically activates a negative-pressure chamber to move a sequence of reagents pre-stored on a cassette. 
,
, The process is durable, requires little user training, and needs no maintenance or additional manufacturing. 
,
, Sia's team removed the need for a battery by using the audio jack for transmitting power and for data transmission. And, because audio jacks are standardised among smartphones, the dongle can be attached to any compatible smart device in a plug-and-play manner. 
,
, The research is published in the journal Science Translational Medicine. 
"
"Updated: Feb 5, 2015, 11:44 IST",HIV+ siblings distraught after being separated by law,"SURAT: Two young siblings, who are HIV+, could not be together for more than two days because of a strange rule. This has left the eight-year-old boy distraught ever since he returned to , after meeting his 15-year-old sister in Surat recently. 

, The teenage girl is sheltered at Janani Dham, which is managed by GSNP+ (Gujarat State Network of People living with HIV+\Aids). The boy was among the 135 children, who had been brought to , at Kamrej, 15km from Surat, under the state children consultation programme in December 2014. After two days, the boy had to leave the centre as two HIV+ children of different genders even if they are siblings are not allowed together under The Juvenile Justice (Care and Protection of Children) Act. 
,
, The teenage girl told GSNP+ volunteers, “All I have in this world is my little brother and they won’t let him stay in front of my eyes. Why can’t the authorities keep him on the same campus.” 
,
, Gujarat’s social justice and empowerment minister Ramanlal Vora told TOI, “The law prevents us from keeping them together, even if they are siblings. How can we keep a boy and a girl in the same room?” he asks. 
,
, GSNP+ president Daxa Patel said, “We have to follow the Juvenile Justice (Care and Protection of Children) Act. We have an agreement with Samaj Suresksha department which enjoins upon us to provide separate shelter at separate locations for boys and girls.” 
,
, However, Surat’s Samaj Sureksha officer Geeta Patel said said, “We have shelter for boys in Gandhinagar. The shelter for girls has been set up in Kamrej.” 
,
, There are 49 girls below the age of 16 at Janani Dham and 50 boys below the age of 16 stay in Gandhinagar shelter set up for them. 
,
, The state government gives Rs 1,000 per month as grant for each girl. However, the grant is irregular. The 2011 grant was paid in 2014, sources said. A GSNP+ office-bearer said, “Last month, some money was deposited in our account by the state government. We are never fully reimbursed for the expenses that we incur on the girls at the centre.” 
,
, 
"
"Feb 16, 2015, 06:40 IST",New aggressive form of HIV accelerates AIDS,"LONDON: A new aggressive form of , can progress to , in just three years - so rapidly that patients may not even realize they were infected, scientists say. 

, Engaging in unprotected sex with multiple partners increases the risk of contracting multiple strains of HIV. Once inside a host, these strains can recombine into a new variant of the virus, researchers said. 
,
, One such recombinant variant observed in patients in Cuba appears to be much more aggressive than other known forms of HIV, researchers said. Before it can enter human cells, HIV must first anchor itself to them. The virus does this via anchor points, or co-receptors, which are proteins on the cell membrane. 
,
, In a normal infection, the virus first uses the anchor point CCR5. In many patients, after a number of healthy years, the virus then switches to the anchor point CXCR4. This co-receptor switch coincides with a faster progression to AIDS. 
,
, Researchers at KU Leuven's Laboratory for Clinical and Epidemiological Virology in Belgium have described a recombinant form of HIV observed in patients in Cuba that makes this transition much faster. The virus targets the anchor point CXCR4 early after infection, shortening drastically the healthy phase and triggering rapid progression to AIDS. 
,
, The transition from anchor point CCR5 to CXCR4 is normally very difficult. Researchers suspect that the rapid transition observed in this HIV recombinant occurs as a result of combining fragments from different HIV subtypes. 
"
